MAKE,BASEMODEL,CLASS
Cadillac,Armored Deville,Sedan
Cadillac,Brougham,Sedan
Cadillac,Brougham/DeVille,Sedan
Cadillac,CT6,Sedan
Cadillac,DTS,Sedan
Cadillac,DeVille,Sedan
Cadillac,DeVille/60 Special,Sedan
Cadillac,DeVille/Concourse,Sedan
Cadillac,Fleetwood,Sedan
Cadillac,Fleetwood Brougham,Sedan
Cadillac,Fleetwood/DeVille,Sedan
Cadillac,Funeral Coach/Hearse,Sedan
Cadillac,Limousine,Sedan
Cadillac,Seville,Sedan
Cadillac,XTS,Sedan
Chevrolet,Caprice,Sedan
Chevrolet,Impala,Sedan
Chevrolet,Impala/Caprice,Sedan
Chevrolet,Malibu,Sedan
Chevrolet,SS,Sedan
Chrysler,300,Sedan
Chrysler,300 SRT8,Sedan
Chrysler,Concorde,Sedan
Chrysler,Concorde/LHS,Sedan
Chrysler,Fifth Avenue/Imperial,Sedan
Chrysler,Imperial/New Yorker Fifth Avenue,Sedan
Chrysler,LHS,Sedan
Chrysler,New Yorker Fifth Avenue/Imperial,Sedan
Chrysler,New Yorker/LHS,Sedan
Dabryan Coach Builders Inc,WB,Sedan
Dodge,Charger,Sedan
Dodge,Intrepid,Sedan
Dodge,Monaco,Sedan
Eagle,Premier,Sedan
Eagle,Vision,Sedan
Federal Coach,24E,Sedan
Federal Coach,85J,Sedan
Federal Coach,Eagle,Sedan
Federal Coach,Formal,Sedan
Federal Coach,Lincoln 100J,Sedan
Federal Coach,Lincoln 24E,Sedan
Federal Coach,Lincoln 85J,Sedan
Federal Coach,Lincoln Eagle/Windsor,Sedan
Federal Coach,Lincoln Eaton,Sedan
Federal Coach,Six Door,Sedan
Federal Coach,Windsor,Sedan
Ford,C-MAX,Sedan
Ford,Crown Victoria,Sedan
Ford,Five Hundred,Sedan
Ford,LTD Crown Victoria,Sedan
Ford,Taurus,Sedan
Genesis,G80,Sedan
Genesis,G90,Sedan
Genesis,GV60,Sedan
Hyundai,Azera,Sedan
Hyundai,Equus,Sedan
Hyundai,Genesis,Sedan
Hyundai,Ioniq,Sedan
Hyundai,Ioniq 5,Sedan
Hyundai,Sonata,Sedan
Infiniti,M35,Sedan
Infiniti,Q45,Sedan
J.K. Motors,MERC BENZ 300SEL,Sedan
"JBA Motorcars, Inc.",W-126/4 Series,Sedan
Jaguar,Super V8,Sedan
Jaguar,Vdp,Sedan
Jaguar,XJL,Sedan
Kia,Amanti,Sedan
Kia,Cadenza,Sedan
Kia,K5,Sedan
Kia,K900,Sedan
Kia,Optima,Sedan
Lexus,RZ,SUV
Bentley,Continental Flying Spur,Sports Sedan
Lincoln,MKS,Sedan
Lincoln,Town Car,Sedan
London Coach Co Inc,London Taxi,Sedan
Lucid,Air,Sedan
Maserati,Quattroporte,Sedan
Maybach,57,Sedan
Maybach,62,Sedan
Maybach,Landaulet,Sedan
Mercedes-Benz,EQS,Sedan
Mercedes-Benz,Maybach,Sedan
Mercury,Grand Marquis,Sedan
Mercury,Marauder,Sedan
Mercury,Montego,Sedan
Mercury,Sable,Sedan
Oldsmobile,Delta 88,Sedan
Oldsmobile,Delta 88 Royale,Sedan
Oldsmobile,Eighty-Eight,Sedan
Oldsmobile,Eighty-Eight/Regency,Sedan
Oldsmobile,Eighty-Eight/Regency/LSS,Sedan
Oldsmobile,Ninety-Eight,Sedan
Oldsmobile,Ninety-Eight II,Sedan
Oldsmobile,Ninety-Eight Regency,Sedan
Oldsmobile,Ninety-Eight/Touring,Sedan
Pontiac,Bonneville,Sedan
Pontiac,G8,Sedan
Pontiac,Parisienne,Sedan
Porsche,Panamera,Sedan
Rolls-Royce,Ghost,Sedan
Rolls-Royce,Limousine,Sedan
Rolls-Royce,Park Ward,Sedan
Rolls-Royce,Silver Spur II Mpw Touring L,Sedan
Rolls-Royce,Silver Spur III Limousine,Sedan
Rolls-Royce,Silver Spur Limousine,Sedan
Rolls-Royce,Silver Spur Park Ward,Sedan
Saab,9000,Sedan
Subaru,Legacy,Sedan
Tesla,Model S,Sedan
Toyota,Avalon,Sedan
Volkswagen,Arteon,Sedan
Volkswagen,Phaeton,Sedan
Wallace Environmental,Wetl 600 SEL,Sedan
ASC Incorporated,GNX,Sedan
Acura,RL,Sedan
Acura,RLX,Sedan
Alfa Romeo,Giulia,Sedan
Audi,200,Sedan
Audi,5000,Sedan
Audi,A5,Sedan
Audi,A7,Sedan
Audi,RS,Sedan
Audi,RS 6,Sedan
Audi,RS 7,Sedan
Audi,RS e-tron GT,Sedan
Audi,S5,Sedan
Audi,S7,Sedan
Audi,e-tron GT,Sedan
BMW,8 Series,Sedan
BMW,X2,Sedan
Bentley,Continental GT Convertible,Sports Sedan
Bentley,Flying Spur,Sedan
Bentley,Mulsanne,Sedan
Bentley,Turbo RT,Sedan
Bitter Gmbh and Co. Kg,SC,Sedan
Buick,Century,Sedan
Buick,LaCrosse,Sedan
Buick,Lacrosse/Allure,Sedan
Buick,Regal/Century,Sedan
CX Automotive,XM,Sedan
Cadillac,CT5,Sedan
Cadillac,CTS,Sedan
Cadillac,CTS-V,Sedan
Cadillac,Catera,Sedan
Cadillac,STS,Sedan
Cadillac,STS-V,Sedan
Chevrolet,Celebrity,Sedan
Chevrolet,Citation II,Sedan
Chevrolet,Classic,Sedan
Chevrolet,Epica,Sedan
Chevrolet,Lumina,Sedan
Chevrolet,Lumina/Monte Carlo,Sedan
Chevrolet,Monte Carlo,Sedan
Chrysler,Cirrus,Sedan
Chrysler,E Class/New Yorker,Sedan
Chrysler,Executive Sedan/Limousine,Sedan
Chrysler,Limousine,Sedan
Chrysler,New Yorker,Sedan
Chrysler,New Yorker/5th Avenue,Sedan
Chrysler,Newport/Fifth Avenue,Sedan
Daewoo,Leganza,Sedan
Daewoo,Magnus,Sedan
Dodge,600,Sedan
Dodge,Aries,Sedan
Dodge,Dart,Sedan
Dodge,Diplomat,Sedan
Dodge,Dynasty,Sedan
Dodge,Lancer,Sedan
Dodge,Spirit,Sedan
Eagle,Medallion,Sedan
Eagle,Renault Medallion,Sedan
Ferrari,612 Scaglietti,Sedan
Ferrari,FF,Sedan
Ford,Fusion,Sedan
Ford,LTD,Sedan
Honda,Clarity,Sedan
Hyundai,Ioniq 6,Sedan
Hyundai,XG,Sedan
Import Trade Services,ITS 520,Sedan
Infiniti,G25,Sedan
Infiniti,G37,Sedan
Infiniti,I30,Sedan
Infiniti,I35,Sedan
Infiniti,M37,Sedan
Infiniti,M56,Sedan
Infiniti,Q40,Sedan
Infiniti,Q70,Sedan
J.K. Motors,230E MERC BENZ,Sedan
J.K. Motors,300CE MERC BENZ,Sedan
J.K. Motors,300E MERC BENZ,Sedan
J.K. Motors,BMW535I,Sedan
J.K. Motors,BMW635CSI,Sedan
J.K. Motors,BMW635L6,Sedan
J.K. Motors,BMW735I,Sedan
J.K. Motors,BMW735IL,Sedan
J.K. Motors,MERC BENZ 300CE,Sedan
J.K. Motors,MERC BENZ 300E,Sedan
J.K. Motors,MERC BENZ 300SE,Sedan
J.K. Motors,MERC.BENZ 260E,Sedan
J.K. Motors,MERC.BENZ.300SE,Sedan
J.K. Motors,PORSCHE 928 S4,Sedan
Jaguar,S-Type,Sedan
Jaguar,Vanden Plas,Sedan
Jaguar,XF,Sedan
Kenyon Corporation Of America,Kenyon 5.0 Sedan,Sedan
Kia,Stinger,Sedan
Lincoln,LS,Sedan
Lincoln,MKZ,Sedan
Lincoln,Mark VII,Sedan
Lincoln,Mark VIII,Sedan
Lincoln,Zephyr,Sedan
MINI,Clubman,Sedan
MINI,John Cooper Works,Sedan
Maserati,228,Sedan
Maserati,Ghibli,Sedan
Mazda,6,Sedan
Mazda,626/MX-6,Sedan
Mazda,929,Sedan
Mazda,MX-30,Sedan
Mazda,Speed 3,Sedan
Mcevoy Motors,740 GLE Sedan,Sedan
Mercedes-Benz,420,Sedan
Mercedes-Benz,B-Class Electric Drive,Sedan
Mercedes-Benz,EQE,Sedan
Mercury,Marquis,Sedan
Mercury,Milan,Sedan
Merkur,Scorpio,Sedan
Nissan,Kicks,Sedan
Nissan,LEAF,Sedan
Oldsmobile,Aurora,Sedan
Oldsmobile,Ciera,Sedan
Oldsmobile,Cutlass,Sedan
Oldsmobile,Cutlass Ciera,Sedan
Oldsmobile,Cutlass Supreme,Sedan
Oldsmobile,Intrigue,Sedan
Oldsmobile,Toronado,Sedan
Oldsmobile,Trofeo/Toronado,Sedan
Plymouth,Acclaim,Sedan
Plymouth,Breeze,Sedan
Plymouth,Caravelle,Sedan
Plymouth,Gran Fury,Sedan
Plymouth,Reliant,Sedan
Polestar,2,Sedan
Pontiac,6000,Sedan
Pontiac,Grand Prix,Sedan
Pontiac,Phoenix,Sedan
Porsche,928,Sedan
Rolls-Royce,Brooklands/Turbo R,Sedan
Rolls-Royce,Eight/Mulsan/Mulsanne,Sedan
Rolls-Royce,Flying Spur,Sedan
Rolls-Royce,Silver Dawn,Sedan
Rolls-Royce,Silver Seraph,Sedan
Rolls-Royce,Silver Spirit II/Silver Spur,Sedan
Rolls-Royce,Silver Spirit III/Spur III,Sedan
Rolls-Royce,Silver Spirit/Silver Spur,Sedan
Rolls-Royce,Silver Spirit/Spur/Mulsanne,Sedan
Rolls-Royce,Silver Spur,Sedan
Rolls-Royce,Silver Spur/Silver Dawn,Sedan
Rolls-Royce,Spirit III/Spur III/Dawn,Sedan
Rolls-Royce,Wraith,Sedan
Roush Performance,Mustang,Sedan
Saab,5-Sep,Sedan
Saturn,Aura,Sedan
Saturn,L100/200,Sedan
Saturn,L300,Sedan
Saturn,LS,Sedan
Scion,iM,Sedan
Subaru,Impreza,Sedan
Suzuki,Verona,Sedan
Tesla,Model 3,Sedan
Texas Coach Company,500SE,Sedan
Texas Coach Company,500SEL,Sedan
Toyota,Crown,Sedan
Toyota,Prius Prime,Sedan
Volvo,740/760,Sedan
Volvo,850,Sedan
Volvo,940,Sedan
Volvo,S70,Sedan
Volvo,S80,Sedan
Audi,RS,SUV
Buick,Century Estate Wagon,SUV
Isuzu,Oasis,SUV
Kia,Rondo,SUV
Lexus,RX450H,SUV
Mazda,5,SUV
Mercedes-Benz,300,SUV
Mercedes-Benz,GLA-Class,SUV
Mercedes-Benz,GLB-Class,SUV
Nissan,Altra EV,SUV
Nissan,Murano,SUV
Oldsmobile,Cutlass Cruiser,SUV
Peugeot,505,SUV
Plymouth,Reliant,SUV
Rolls-Royce,Cullinan,SUV
Saab,5-Sep,SUV
Saturn,LW,SUV
Subaru,Legacy/Outback,SUV
Toyota,Prius v,SUV
Volvo,240,SUV
Volvo,V70,SUV
Volvo,V90,SUV
Audi,100,SUV
Audi,200,SUV
Buick,Century Wagon,SUV
Buick,Electra Estate Wagon,SUV
Buick,Estate Wagon,SUV
Buick,LeSabre/Electra Wagon,SUV
CX Automotive,Cxestate,SUV
Eagle,Medallion,SUV
Eagle,Renault Medallion,SUV
Eagle,Summit,Van
Import Trade Services,ITS 200TE,SUV
Import Trade Services,ITS 230TE,SUV
J.K. Motors,300TE MERC BENZ,SUV
J.K. Motors,MERC BENZ 300TE,SUV
Mcevoy Motors,240 DL/240 GL Wagon,SUV
Mcevoy Motors,740 GLE Wagon,SUV
Mercedes-Benz,230,SUV
Mitsubishi,Expo,SUV
Oldsmobile,Ciera,SUV
Oldsmobile,Custom Cruiser,SUV
Peugeot,405,SUV
Pontiac,Safari,SUV
Volvo,740/760,SUV
Volvo,850,SUV
Wallace Environmental,Wetl 300,SUV
Alfa Romeo,GT,Sedan
Alfa Romeo,GTV,Sedan
Aston Martin,DB-7 GT,Sedan
Aston Martin,DB-7 Vantage,Sedan
Aston Martin,DB11,Sedan
Aston Martin,DB12 V8,Sedan
Aston Martin,DB7,Sedan
Aston Martin,DB9,Sedan
Aston Martin,DBS,Sedan
Aston Martin,Virage,Sedan
Audi,Cabriolet,Sedan
Audi,TT Coupe,Sports Sedan
Avanti Motor Corporation,Avanti II,Sedan
Bentley,Continental Supersports,Sports Sedan
Chevrolet,Sprint,Sedan
Dacia,Coupe,Sedan
Dacia,Sedan,Sedan
Excalibur Autos,Phaeton,Sedan
Ferrari,3.2 Mondial/Cabriolet,Sedan
Ferrari,California,Sedan
Ferrari,California T,Sedan
Ferrari,GTC4Lusso,Sedan
Ferrari,Mondial,Sedan
Ferrari,Mondial/Cabriolet,Sedan
Ferrari,Portofino,Sedan
Ferrari,Roma,Sedan
Fiat,500,Sedan
Fiat,500e,Sedan
Jaguar,XK,Sedan
Jaguar,XK8,Sedan
Jaguar,XKR,Sedan
Lexus,RX400H,SUV
Lexus,RX350,SUV
Lotus,Evora,Sedan
MINI,Cooper,Sedan
MINI,MiniE,Sedan
Maserati,222E,Sedan
Maserati,225,Sedan
Maserati,Biturbo,Sedan
Mercedes-Benz,CLK-Class,Sedan
Mercedes-Benz,SL-Class,Sedan
Mercury,Capri,Sedan
Mitsubishi,Eclipse,Sedan
Nissan,240SX,Sedan
Nissan,NX,Sedan
Polestar,1,Sedan
Pontiac,Firefly,Sedan
Porsche,924,Sedan
Porsche,944,Sedan
Porsche,Carrera 2 Cabriolet,Sedan
Porsche,Carrera 2 Cabriolet Kit,Sedan
Porsche,Carrera 2 Coupe,Sedan
Porsche,Carrera 2 Coupe Kit,Sedan
Porsche,Carrera 2 S Cabriolet,Sedan
Porsche,Carrera 2 S Coupe,Sedan
Porsche,Carrera 4 Cabriolet,Sedan
Porsche,Carrera 4 Cabriolet Kit,Sedan
Porsche,Carrera 4 Coupe,Sedan
Porsche,Carrera 4 S,Sedan
Porsche,Carrera 4 S Cabriolet,Sedan
Porsche,Carrera 4 S Cabriolet Kit,Sedan
Porsche,Carrera 4 S Coupe,Sedan
Porsche,Carrera 4 S Kit,Sedan
Porsche,Carrera 4 S Targa,Sedan
Porsche,Carrera 4 Targa,Sedan
Porsche,New 911 Carrera,Sports Sedan
Porsche,Targa,Sedan
Porsche,Turbo,Sedan
Porsche,Turbo 4 911,Sports Sedan
Porsche,Turbo 4 911 Cab,Sports Sedan
Porsche,Turbo 4 911 Cab Kit,Sports Sedan
Porsche,Turbo 4 911 Kit,Sports Sedan
Porsche,Turbo 4 911 S,Sports Sedan
Porsche,Turbo 4 911 Turbo,Sports Sedan
Porsche,Turbo 4 911 Turbo Cab S,Sports Sedan
Porsche,Turbo Kit,Sedan
Qvale,Detomaso Mangusta,Sedan
Scion,FR-S,Sedan
Scion,iQ,Sedan
Spyker,C8,Sedan
Subaru,BRZ,Sedan
Suzuki,Forsa,Sedan
Suzuki,SA 310,Sedan
Toyota,86,Sedan
Toyota,Celica,Sedan
Toyota,GR 86,Sedan
Toyota,Paseo,Sedan
Toyota,Starlet,Sedan
Toyota,Supra,Sedan
Volkswagen,Cabriolet,Sedan
Yugo,GV Plus/GV/Cabrio,Sedan
Yugo,Gy/yugo GVX,Sedan
Buick,Terraza,Van
Chevrolet,Uplander,Van
Chevrolet,Venture,Van
Chrysler,Pacifica,Van
Chrysler,Town Country,Van
Chrysler,Grand Voyager,Van
Chrysler,Voyager,Van
Chrysler,Voyager,Van
Dodge,Caravan,Van
Dodge,Grand Caravan,Van
Ford,Freestar,Van
Ford,Postal Vehicle,Van
Ford,Windstar,Van
Honda,Odyssey,Van
Hyundai,Entourage,Van
Kia,Carnival,Van
Kia,Sedona,Van
Mazda,5,Van
Mazda,MPV,Van
Mercury,Monterey,Van
Mercury,Villager,Van
Nissan,Quest,Van
Oldsmobile,Silhouette,Van
Plymouth,Voyager/Grand Voyager,Van
Pontiac,Montana,Van
Pontiac,Monterey,Van
Pontiac,Trans Sport/Montana,Van
Ram,C/V,Van
Saturn,Relay,Van
Toyota,Sienna,Van
Volkswagen,Eurovan,Van
Volkswagen,Routan,Van
Mazda,B Pickup,Pickup Truck
Ford,Courier,Pickup Truck
Ford,Ranger,Pickup Truck
GMC,Sonoma,Pickup Truck
Jeep,Scrambler,Pickup Truck
Chevrolet,C10,Pickup Truck
Mitsubishi,Truck,Pickup Truck
Nissan,Hardbody,Pickup Truck
Nissan,Truck,Pickup Truck
PAS Inc - GMC,Pas-Syclone,Pickup Truck
"PAS, Inc",Pas-Syclone,Pickup Truck
Subaru,Brat,Pickup Truck
Toyota,Tacoma,Pickup Truck
Toyota,Truck/T100,Pickup Truck
Chevrolet,Colorado,Pickup Truck
Chevrolet,C1500,Pickup Truck
Ford,Maverick,Pickup Truck
GMC,Canyon,Pickup Truck
Honda,Ridgeline,Pickup Truck
Chevrolet,C20,Pickup Truck
Isuzu,i-290 Extended Cab,Pickup Truck
Isuzu,i-370 Crew Cab,Pickup Truck
Isuzu,i-370 Extended Cab,Pickup Truck
Chevrolet,C2500,Pickup Truck
Nissan,Frontier,Pickup Truck
Suzuki,Equator,Pickup Truck
GMC,Caballero,Pickup Truck
Import Foreign Auto Sales Inc,1fas 410,Pickup Truck
Jeep,Comanche,Pickup Truck
Dodge,D100/D150,Pickup Truck
Suzuki,SJ 410,Pickup Truck
Acura,MDX,SUV
Acura,RDX,SUV
Alfa Romeo,Stelvio,SUV
Audi,Q4 e-tron,SUV
BMW,X3,SUV
BYD,e6,SUV
Buick,Encore,SUV
Buick,Envision,SUV
Cadillac,LYRIQ,SUV
Cadillac,XT4,SUV
Cadillac,XT5,SUV
Cadillac,XT6,SUV
Chevrolet,Blazer,SUV
Chevrolet,Captiva,SUV
Chevrolet,Equinox,SUV
Chevrolet,Trailblazer,SUV
Chevrolet,Trax,SUV
Dodge,Journey,SUV
Fiat,500 X,SUV
Ford,EcoSport,SUV
Ford,Edge,SUV
Ford,Escape,SUV
Ford,Mustang Mach-E,SUV
GMC,Terrain,SUV
Genesis,GV60,SUV
Genesis,GV80,SUV
Honda,CR-V,SUV
Honda,Crosstour,SUV
Honda,HR-V,SUV
Honda,Passport,SUV
Honda,Pilot,SUV
Hyundai,Ioniq 5,SUV
Hyundai,Kona,SUV
Hyundai,Nexo,SUV
Hyundai,Palisade,SUV
Hyundai,Santa Cruz,SUV
Hyundai,Santa Fe,SUV
Hyundai,Tucson,SUV
Hyundai,Venue,SUV
Infiniti,FX37,SUV
Infiniti,JX35,SUV
Infiniti,QX50,SUV
Infiniti,QX60,SUV
Infiniti,QX70,SUV
Jeep,Cherokee,SUV
Jeep,Compass,SUV
Jeep,Patriot,SUV
Jeep,Renegade,SUV
Kia,EV6,SUV
Kia,Niro,SUV
Kia,Seltos,SUV
Kia,Sorento,SUV
Kia,Sportage,SUV
Kia,Telluride,SUV
Lexus,RX350,SUV
Lexus,RX330,SUV
Lincoln,Corsair,SUV
Lincoln,MKC,SUV
Lincoln,MKT,SUV
Lincoln,MKX,SUV
Lincoln,Nautilus,SUV
Mazda,CX-30,SUV
Mazda,CX-5,SUV
Mazda,CX-9,SUV
Mercedes-Benz,EQB,SUV
Mercedes-Benz,GLC-Class,SUV
Mercedes-Benz,GLK-Class,SUV
Mitsubishi,Eclipse Cross,SUV
Mitsubishi,Outlander,SUV
Nissan,Pathfinder,SUV
Nissan,Rogue,SUV
Nissan,Xterra,SUV
Suzuki,Grand Vitara,SUV
Tesla,Model Y,SUV
Toyota,Corolla Cross,SUV
Toyota,FJ Cruiser,SUV
Toyota,Highlander,SUV
Toyota,RAV4,SUV
Toyota,Venza,SUV
Toyota,bZ4X,SUV
Volkswagen,Atlas,SUV
Volkswagen,ID.4,SUV
